source,video_index,file_path,half,clock,time_seconds,label,team,confidence,details
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:10,2530.0,Other,away,0.9,Player looks at the camera
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:14,2534.0,Goal,home,0.94,Goal scored by player in white jersey
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:18,2538.0,Foul,away,0.8,player X pushes player Y
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:20,2540.0,Corner,away,0.9,corner from the right side
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:22,2542.0,Goal,home,0.9,Player scores goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:24,2544.0,Goal,away,0.94,Player scores
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:26,2546.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:28,2548.0,Shot off target,home,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:30,2550.0,Shot off target,away,0.9,Player takes a shot from outside the box but misses
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:32,2552.0,Shot off target,home,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:34,2554.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:38,2558.0,Shot off target,home,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:42,2562.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:46,2566.0,Shot off target,away,0.9,Player takes a shot from outside the box but misses
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:50,2570.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:54,2574.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,42:58,2578.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:00,2580.0,Foul,home,0.9,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:04,2584.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:08,2588.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:12,2592.0,Shot off target,away,0.8,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:14,2594.0,Shot off target,home,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:16,2596.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:18,2598.0,Foul,home,0.9,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:20,2600.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:24,2604.0,Foul,away,0.9,Trippier fouls Filipe Luis
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:26,2606.0,Free-kick,home,0.94,Player 8 takes a free-kick
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:28,2608.0,Shot off target,home,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:30,2610.0,Shot off target,away,0.9,Player in red jersey takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:34,2614.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:38,2618.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:42,2622.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:44,2624.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:46,2626.0,Shot off target,home,0.9,Player from home team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:48,2628.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:50,2630.0,Foul,away,0.9,Player 20 is fouled by Player 19
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:54,2634.0,Shot off target,away,0.9,Player in blue takes a shot but misses
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,43:56,2636.0,Shot off target,home,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:00,2640.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:02,2642.0,Shot off target,away,0.8,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:04,2644.0,Shot off target,home,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:06,2646.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:10,2650.0,Shot off target,home,0.8,Player takes a shot from outside the box
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:14,2654.0,Foul,away,0.9,Player A is fouled by Player B
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:18,2658.0,Shot off target,away,0.94,Player kicks the ball but misses
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:20,2660.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:22,2662.0,Foul,home,0.8,Player 25 fouls player 19
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:24,2664.0,Ball out of play,home,0.9,Ball goes out of play
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:26,2666.0,Shot off target,home,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:28,2668.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:32,2672.0,Foul,away,0.9,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:34,2674.0,Substitution,home,0.9,Player X is substituted by Player Y
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:36,2676.0,Other,home,0.9,player looks at the field
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:38,2678.0,Foul,away,0.94,Player from away team pushes opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:42,2682.0,Other,home,0.9,Player looks around
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:44,2684.0,Foul,home,0.94,Player from home team is fouled
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:46,2686.0,Ball out of play,home,0.96,Ball goes out of play
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:48,2688.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:50,2690.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:52,2692.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:56,2696.0,Shot off target,home,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,44:58,2698.0,Foul,away,0.9,by player BUR 24
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:04,4.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:06,6.0,Foul,away,0.8,Burnley player pushes Chelsea player
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:08,8.0,Shot off target,home,0.9,Player from home team takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:10,10.0,Shot on target,home,0.8,Player in blue takes a shot
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:12,12.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:14,14.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:18,18.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:22,22.0,Shot off target,away,0.9,Player in red kicks the ball towards the goal but misses
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:24,24.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:30,30.0,Goal,away,0.89,Player scores goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:32,32.0,Foul,away,0.8,Player 20 fouls player 10
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:36,36.0,Foul,away,0.9,player from away team fouled player from home team
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:40,40.0,Foul,away,0.9,man A touches his head
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:42,42.0,Shot off target,away,0.8,Player 26 takes a shot
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:44,44.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:46,46.0,Shot off target,away,0.8,Player from away team takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:48,48.0,Shot off target,home,0.8,Player takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:50,50.0,Foul,away,0.8,Player 26 fouls player 5
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:52,52.0,Shot off target,away,0.9,Player takes a shot from outside the box but misses
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:54,54.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:56,56.0,Shot off target,home,0.9,Player from home team takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,00:58,58.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:04,64.0,Foul,away,0.8,Diego Costa pushes player
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:08,68.0,Other,home,0.9,Player looks around the field
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:12,72.0,Foul,away,0.8,Player 23 fouls player 24
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:16,76.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:20,80.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:22,82.0,Shot off target,away,0.8,Player from away team takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:24,84.0,Shot off target,home,0.9,Player from home team takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:28,88.0,Shot off target,home,0.8,Player in blue takes a shot but misses
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:30,90.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:34,94.0,Foul,home,0.8,Player from away team fouls player from home team
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:36,96.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:38,98.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:40,100.0,Goal,away,0.94,Player scores
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:42,102.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:46,106.0,Other,home,0.9,Player adjusts gloves
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:48,108.0,Foul,away,0.9,Player from away team is fouled
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:52,112.0,Foul,away,0.9,Player from away team appears to be fouled
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:56,116.0,Foul,away,0.9,Player from away team appears to be fouled
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,01:58,118.0,Ball out of play,away,0.9,Goalkeeper picks the ball
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:00,120.0,Free-kick,away,0.94,Goalkeeper prepares for free-kick
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:02,122.0,Foul,away,0.94,Player X fouls player Y
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:04,124.0,Shot off target,away,0.9,Player takes a shot from outside the box
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:08,128.0,Free-kick,away,0.94,Goalkeeper prepares for free-kick
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:10,130.0,Foul,away,0.9,Goalkeeper blocks the ball
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:12,132.0,Goal,away,0.94,Goalkeeper makes a save
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:14,134.0,Kick-off,home,0.9,Kick-off from the center circle
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:16,136.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:18,138.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:20,140.0,Shot on target,away,0.8,Player in white shirt takes a shot towards the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:24,144.0,Shot off target,away,0.9,Player in white attempts a shot but misses
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:28,148.0,Shot off target,away,0.9,Player in red jersey takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:32,152.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:34,154.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:38,158.0,Foul,away,0.8,Player 25 fouls player 26
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:40,160.0,Shot off target,away,0.9,Player in white shirt takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:44,164.0,Shot off target,home,0.9,Player in blue takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:46,166.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:50,170.0,Goal,home,0.94,Player scores
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:52,172.0,Other,home,0.9,Player looks up
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:54,174.0,Kick-off,home,0.9,kick-off
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,02:56,176.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:00,180.0,Shot on target,home,0.9,Player in blue takes a shot towards the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:02,182.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:04,184.0,Premier League,none,0.9,Premier League logo
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:06,186.0,Foul,away,0.8,Player from away team fouls the player from home team
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:10,190.0,Foul,away,0.9,Player from away team pushes opponent
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:12,192.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:16,196.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:20,200.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:24,204.0,Foul,away,0.9,Player in blue commits foul against player in red
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:28,208.0,Foul,away,0.9,Player 23 fouls player 24
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:32,212.0,Foul,home,0.9,Player lying on the ground after being fouled
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:34,214.0,Foul,away,0.9,Player 21 from away fouls player in the field
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:38,218.0,Foul,away,0.9,Player 81 fouls player 26
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:42,222.0,Foul,away,0.9,player A10 fouled player B1
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:46,226.0,Shot off target,away,0.9,Player 10 takes a shot
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:50,230.0,Foul,away,0.9,Player 23 fouls player 10
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:54,234.0,Foul,away,0.9,Player in blue challenges the player in red
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,03:58,238.0,Foul,home,0.8,Player 23 fouls player 10
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:00,240.0,Foul,away,0.9,Player B10 fouls player A24
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:02,242.0,Ball out of play,home,0.9,ball is in the air
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:04,244.0,Other,home,0.9,player A2 touches the ball
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:06,246.0,Other,away,0.9,man in black jacket walks away
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:08,248.0,Foul,away,0.9,man Y fouls player X
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:12,252.0,Foul,away,0.9,man in suit points at player
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:16,256.0,Foul,away,0.9,man A touches his face
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:20,260.0,Other,away,0.9,man in black jacket and tie is talking
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:24,264.0,Foul,away,0.9,man B touches the face
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:28,268.0,Foul,away,0.9,Player 2 is fouled
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:32,272.0,Substitution,away,0.9,man in black jacket picks up bag
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:34,274.0,Other,away,0.9,man A walks
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:36,276.0,Other,home,0.9,player walks
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:38,278.0,Substitution,away,0.9,Player 2 is substituted by player 6
Qwen,1,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_1.json,1,04:40,280.0,Foul,away,0.8,man Y pushes man X
